Name,Phone,Address,City,State,Zip,County,Age
Clearwater Academy,(770) 631-3650,210 Greencastle Road,Tyrone,GA,30290,Fayette,6 to 11
Cobb Autism Support,404.987.253,"Spectrum Psychological Services. 2551 Roswell Road, Suite 525",Marietta,GA,30062,Cobb,6 to 11
Columbus Community Services (Southwest),229-435-3212,235 Roosevelt Avenue Suite 455,Albany,GA,31701,Dougherty,6 to 11
"Communication Interventions, Inc.",(404) 720-4278,2025 Cogar drive,Decatur,GA,30032,DeKalb,6 to 11
Community Autism Program (CAP Program),404-785-9350,Marcus Institute 1920 Briarcliff Road,Atlanta,GA,,DeKalb,6 to 11
Community Service Board of Middle Georgia,(478) 272-1190,2121 A Bellevue Road,Dublin,GA,31021,Laurens,6 to 11
Compass Behavioral & Developmental Consultants LLC - Hinesvilles,(800) 832-9419 ext 1,"740 East General Stewart Way, Suite 108",Hinesville,GA,31313,Liberty,6 to 11
Compass Behavioral & Developmental Consultants LLC - Thomas,(800) 832-9419 Ext. 1,602 Victoria Place Suite A,Thomasville,Ga,31792,Thomas,6 to 11
Compass Behavioral & Developmental Consultants LLC - Valdosta,(229) 412-8866,2225 Bemiss Rd Suite D,Valdosta,GA,31602,Lowndes,6 to 11
Compass Behavioral & Developmental Consultants LLC -Warner Robins / Macon Area,(800) 832-9419 Ext. 1,402 Corder Rd Suite 400,Warner Robins,GA,31033,Houston,6 to 11
"Compass Coordination, Inc.",(678) 372-6626,1124 N. Tennessee Street Suite 103,Cartersville,GA,30120,Bartow,6 to 11
Connections for Special Parents,(706) 436-6756,56 Franklin Springs Circle,Royston,GA,30662,Franklin,6 to 11
Cora Lee Institute,770-634-2349,"3080 Highlands Pkwy SE, Suite A",Smyrna,GA,30082,Cobb,6 to 11
Core Care Women's and Children's Wellness Physical Therapy,404-487-8491,"1585 Old Nocross Road, Ste 201B",Lawrenceville,GA,30046,Gwinnett,6 to 11
Core Health Provider Services,(678) 772-7415,"2131 Kingston Court, Suite 108",Marietta,GA,30060,Cobb,6 to 11
Core Therapy Services - Fayette,(678) 626-0557,"100 Glendalough Court, Suite A",Tyrone,GA,30290,Fayette,6 to 11
Corral,770-254-0840,"Coweta Organization for Riding, Rehabilitation and Learning 21 Oliver Potts Road",Newnan,GA,30263,Coweta,6 to 11
Creative Behavior Consulting,(570) 982-9436,342 The Chace,Sandy Springs,GA,30328,Fulton,6 to 11
Crystal Jordan,(404) 468-2164,,Atlanta,GA,30311,Fulton,6 to 11
CSRA Therapy Services,(706) 592-5565,Post Office Box 537,Hephzibah,GA,30815,Richmond,6 to 11
CSS Healthcare Services-Developmental Disabilities Program,770-302-1383 X 106,8896 Tara Boulevard # 200,Jonesboro,GA,30236,Clayton,6 to 11
DBHDD Region 3 Office,(404) 244-5050,3073 Panthersville Road. Building 10,Decatur,GA,30034,DeKalb,6 to 11
DBHDD Region 5 Office,(912) 303-1670,1915 Eisenhower Drive Building 2,Savannah,GA,31406,Chatham,6 to 11
DBHDD Region 6 Office,(706) 565-7835,3000 Schatulga Road Building 4,Columbus,GA,31907,Muscogee,6 to 11
Developing Minds Treatment Center - Dekalb,(478) 238-4774,220 Ponce de Leon Place,Decatur,GA,30030,DeKalb,6 to 11
Developing Minds Treatment Center - Macon,(478) 238-4774,"1760 Bass Rd, Suite 101",Macon,GA,31210,Bibb,6 to 11
"Developmental Crossroads, LLC",770-428-1128,2854 Johnson Ferry Road Suite 150,Marietta,GA,,Cobb,6 to 11
Developmental Neurology Program,(404) 785-5424,"Advanced Pediatrics 1400 Tullie Road NE, Suite 300",Atlanta,GA,30329,DeKalb,6 to 11
Developmental Neurology Program - Scottish Rite Hospital,(404) 785-5424,1001 Johnson Ferry Road NE,Atlanta,GA,30342,Fulton,6 to 11
Dr. Donald W. Bowling,(404) 231-5437,11285 Enkins Road,Roswell,GA,30076,Fulton,6 to 11
Dr. Elizabeth Young,(478) 633-8100,Autism Development Center 1014 Forsyth Street,Macon,GA,31201,Bibb,6 to 11
Dr. June Kaufman,(678) 944-7670,1244 Clairmont RD NE,Decatur,GA,30030,DeKalb,6 to 11
Dr. Michael R. Johns,(478) 633-8100,1014 Forsyth Street,Macon,Ga,31201,Bibb,6 to 11
Dr. Sandy Wilson,770-251- 5873,"Lighthouse Counseling Center, PC 121 Jackson Street",Newnan,GA,30263,Coweta,6 to 11
Dr. Sara Mahan,(770) 452-5353,"1745 Old Spring House Lane, Suite 415",Dunwoody,GA,30338,Fulton,6 to 11
Dr. Shital Gaitonde,(918) 691-1237,1003 Bombay Lane,Roswell,GA,30076,Fulton,6 to 11
Dream Quest Equine-Facilitated Psychotherapy,770-330-4295,1996 Kilcrease Road,Bethlehem,GA,30620,Gwinnett,6 to 11
DreamPower Therapeutic Equestrian Center,770-720-1910,123 Equest Drive,Canton,GA,,Cobb,6 to 11
Dreamworks Children's Therapy Network,678-424-8267,620 E. Powder Springs Street,Smyrna,GA,30080,Cobb,6 to 11
Dynamic Therapy Associates,770-974-2424,3105 Creekside Village Drive Suite 604,Kennesaw,GA,30144,Cobb,6 to 11
DynaVox Mayer-Johnson,770.283.7862,130 Arizona Avenue #412,Atlanta,GA,30307,DeKalb,6 to 11
Early Autism Services,(404) 490-2051,,,,,,6 to 11
Early Bird's ABA,(770) 596-3828,,,,,,6 to 11
"Easter Seals Southern Georgia, Inc.",(229) 439-7062,1906 Palmyra Road,Albany,GA,31701,Dougherty,6 to 11
Eaton Academy,770-645-2673,1000 Old Roswell Lakes Parkway Suite 110,Roswell,GA,30076,Fulton,6 to 11
Eaton's COVID Academic Support Program,(770) 645-2673 ext 244,1000 Old Roswell Lakes Parkway Suite 110,Roswell,Georgia,30076,Fulton,6 to 11
Education Program Specialist - Autism,(404) 656-6244,1770 Twin Towers East 205 Jesse Hill Jr. Drive SE,Atlanta,GA,30334,Fulton,6 to 11
Effingham Satellite -Gateway Community Serv. Board,912/754-3030,P.O. Box 1086 204 East Madison Avenue,Springfield,GA,31329,Effingham,6 to 11
eLuma online therapy,(877) 496-3332 x701,2801 N. Thanksgiving Way #170,Lehi,UT,84043,,6 to 11
Emory Autism Center,(404) 727-8350,The Justin Tyler Truax Building 1551 Shoup Court,Atlanta,GA,30322,DeKalb,6 to 11
ERIC Clearinghouse on Disabilities & Gifted Educa.,703/264-9474,Council for Exceptional Children 1920 Association Drive,Reston,VA,20191,,6 to 11
"Essential Communication, Inc.",770-817-0181,130 Prospect Place,Alpharetta,GA,30005,Fulton,6 to 11
Evergreen Center,(508) 478-2631,345 Fortune Boulevard,Milford,MA,1757,,6 to 11
Exceptional OPS,770-631-1035,P.O. Box 2151,Peachtree City,GA,,Fayette,6 to 11
Family And Friends of Children with Autism,,Washington Street Community Center P.O. Box 226,Covington,GA,,Newton,6 to 11
FAST - Family Autism Support Team,(229) 259-2571,1500 N. Patterson Street,Valdosta,GA,31698,Lowndes,6 to 11
First Step,(404) 585-5439,"101 Devant Street, Suite 401",Fayetteville,GA,30214,Fayette,6 to 11
Floor Time Atlanta,404-373-8335,"Blackstone Centre 1777 NE Expressway, #175",Atlanta,GA,30329,DeKalb,6 to 11
Floor Time Therapy,678/570-5221,2261 Piedmont Forest Drive,Marietta,GA,,Cobb,6 to 11
FOCUS Respite - Alpharetta,770-234-9111,180 Academy Street,Alpharetta,GA,30009,Fulton,6 to 11
FOCUS Respite - Chamblee,770-234-9111,3304 Henderson Mill Road,Chamblee,GA,30340,DeKalb,6 to 11
Forsyth Autism & Special Needs Support Group,(770) 722-8925,The Vine Community Church 4655 Bethelview Road,Cumming,GA,30040,Forsyth,6 to 11
Frontier Baseball,770-722-4837,1551 West Nancy Creek,Brookhaven,GA,30319,DeKalb,6 to 11
Ft. Benning Autism Support Group,(941) 979-2663,7117 Baltzell Avenue,Fort Benning,GA,31905,Chattahoochee,6 to 11
Fusion Autism Center - Athens,(866) 610-0580,"160 Caduceus Way, Building 600, Suite 101",Watkinsville,GA,30677,Clarke,6 to 11
Fusion Autism Center - Augusta,(762) 685-4340,1237 Augusta West Parkway,Augusta,Georgia,30909,Richmond,6 to 11
Fusion Autism Center - Cobb County,(470) 648-0510,137 Johnson Ferry Road Suite 2170,Marietta,GA,30068,Cobb,6 to 11
Fusion Autism Center - Cumming,(470) 253-4121,1664 Market Place Blvd.,Cumming,GA,30041,Forsyth,6 to 11
Fusion Autism Center - Dallas,(866) 610-0580,296 Merchants Square,Dallas,Georgia,30132,Paulding,6 to 11
Fusion Autism Center - Dekalb County,(866) 610-0580,"465 Winn Way, Suite 130 & 140",Decatur,Georgia,30030,DeKalb,6 to 11
Fusion Autism Center - Fulton County,(470) 387-0593,"1260 Upper Hembree Road, Suites D Suite 101",Roswell,GA,30076,Fulton,6 to 11
Fusion Autism Center - Gwinnett,(770) 847-7737,4390 Pleasant Hill Rd. GA,Duluth,GA,30096,Gwinnett,6 to 11
Fusion Autism Center - Hall,(470) 655-1970,5328 Lanier Islands Parkway Unit 101,Buford,GA,30518,Hall,6 to 11
Fusion Autism Center - Newman,(866) 610-0580,"2700 Highway 34 East, Building 100",Newnan,Georgia,30265,Coweta,6 to 11
Fusion Autism Center - Peachtree City,(770) 268-2798,100 Governors Trace Suite 101,Peachtree City,GA,30269,Fayette,6 to 11
Fusion Autism Center - Pooler,(866) 610-0580,"105 Grand Central Blvd., Suites 101",Pooler,Georgia,31322,Chatham,6 to 11
Fusion Autism Center - Stockbridge,(866) 610-0580,"11 North Park Trail, Suite #123",Stockbridge,Georgia,30281,Henry,6 to 11
Fusion Autism Center - Woodstock,(470) 499-2480,3229 S. Cherokee Lane Suite 1400,Woodstock,GA,30188,Cherokee,6 to 11
Gainesville/Hall County Autism Parent Support Group,678-898-6828,5426 Amber Cove Way,Flowery Branch,GA,30504,Hall,6 to 11
Georgia Autism Center,(770) 696-4384,"4046 Wetherburn Way, Ste. 1,",Peachtree Corners,GA,30092,Gwinnett,6 to 11
Georgia Autism Conferences,770-904-4474,,,GA,,Gwinnett,6 to 11
Georgia Autism Initiative,(404) 657-2850,"Georgia Department of Public Health 2 Peachtree Street, NW 11th Floor",Atlanta,GA,30303,Fulton,6 to 11
Georgia Autism Professionals,(678) 469-5835,1066 Sea oats Way,Lilburn,GA,30047,DeKalb,6 to 11
Georgia Baptist Children's Homes & Family Minist,(770) 463-3344,920 Hutchinson Ferry Road,Palmetto,GA,30268,Fulton,6 to 11
Georgia Behavior Specialists,(770) 630-0964,1401 Georgian Park Suite 220,Peachtree City,GA,30269,Fayette,6 to 11
Georgia Center for Autism and Developmental Pediatrics (GCADP),(404) 748-6013,"6065 Roswell Rd NE, Suite 470",Sandy Spring,GA,30328,Fulton,6 to 11
Georgia Crisis and Access Line (BHL),404-420-3202,"Behavioral Health Link 75 Piedmont Avenue, Suite 910",Atlanta,GA,,Fulton,6 to 11
Georgia Dept. of Exceptional Children - Autism,404) 463-5281,1870 Twin Towers East 205 Jesse Hill Jr. Drive SE,Atlanta,GA,,Fulton,6 to 11
Gerard Prep School,(770) 277-4722,263 Jackson Street,Lawrenceville,GA,30043,Gwinnett,6 to 11
"Girl Scouts of Middle Georgia, Inc.",(888) 689-1912,330 Drayton Street,Savannah,GA,31401,Bibb,6 to 11
Glenn-Nova Christian Academy,(770) 837-1953,5241 Rock Springs Road,Lithonia,GA,30058,DeKalb,6 to 11
GN Integrated Pediatric Therapy,678-513-3851,7635 Rock Shadow Court,Gainesville,GA,30506,Hall,6 to 11
Goal Point Behavior Group - Columbus,(706) 221-9629,"1921 Whittlesey Rd Suite 400,",Columbus,GA,31904,Muscogee,6 to 11
Goal Point Behavior Group - Warner Robins,(478) 225-2179,644 Tallulah Trail,Warner Robins,GA,31088,Houston,6 to 11
Goal Soccer,(678) 641-8608,Georgia Tech Campus Recreation Center Stamps Turf Fields,,,,,6 to 11
Golden Steps ABA,(706) 818-6211,3348 Peachtree Road NE Suite 700,Atlanta,GA,30326,Fulton,6 to 11
Great Intervention Teachings,912-572-1048,387 Fox Hollow Circle,Hinesville,GA,31313,Liberty,6 to 11
"Griffin Area Resource Center, Inc.",770/228-9919 x 22,P.O. Box 835 931 Hamilton Boulevard,Griffin,GA,30224,Spalding,6 to 11
"Hand, Hoof and Heart",(404) 971-8262,1580 Murdock Road,Marrietta,GA,30062,Cobb,6 to 11
Heart Song LLC,(678) 936-4269,605 West Avenue,Gainesville,GA,30501,Hall,6 to 11
Highland Rivers Center (Kaleidoscope),(706) 295-6425,6 Mathis Drive NW,Rome,GA,30165-7238,Floyd,6 to 11
Holistic Therapy and Consulting,(706) 813-4265,2340 Prince Avenue,Athens,GA,30606,Clarke,6 to 11
Hopebridge - Camp Creek Autism Therapy Center,(770) 999-9271,"3800 Camp Creek Parkway SW, Building 1400",Atlanta,Georgia,30331,Fulton,6 to 11
Hopebridge Autism Therapy Center - Athens,(706) 449-0273,"1272 Virgil Langford Rd Suite 101,",Watkinsville,GA,30677,Oconee,6 to 11
Hopebridge Autism Therapy Center - Brookhaven,(470) 241-1353,3105 Clairmont Road,Atlanta,Ga,30329,Fulton,6 to 11
Hopebridge Autism Therapy Center - Macon,(478) 219-7626,"4931 Riverside Dr, Suite 400A,",Macon,GA,31210,Bibb,6 to 11
"House of Artists Foundation, Inc.",(404) 793-4431,2451 Cumberland Parkway SE. #3405,Atlanta,GA,30339,Fulton,6 to 11
iCan Shine Bike Camp - Dougherty,(229) 344-1714,PO Box 70722,Albany,GA,31708,Dougherty,6 to 11
InCommunity Atlanta,(470) 357-6671 X1048,"3301 Buckeye Road, Suite 700",Atlanta,GA,30341,DeKalb,6 to 11
"Inneractions Therapy Services, LLC - Cobb",770-726-9624,"1640 Powers Ferry Road Building 2, Suite 150",Marietta,GA,30067,Cobb,6 to 11
Innovative Health Foundation,800-992-8977,"5050 Research Court, Suite 800",Suwanee,GA,30024,Gwinnett,6 to 11
Institute for Behavioral Medicine,(770) 319-8013,696 Concord Road SE,Smyna,GA,30082,Cobb,6 to 11
Int'l Rett Syndrome Association,1-800-818-7388,4600 Devitt Drive,Cincinnati,OH,45246,,6 to 11
Invo Behavior and Therapy Services,(800) 356-4049,2550 Trade Center Drive,Evans,Georgia,30809,Columbia,6 to 11
Jacob's Ladder Neurodevelopmental Learning Center,770/998-1017,407 Hardscrabble Road,Roswell,GA,30075,Fulton,6 to 11
Kadiant - Forsyth,(866) 523-4268,"7360 McGinnis Ferry Rd, Suite 100,",John’s Creek,GA,30024,Forsyth,6 to 11
Kadiant - Fulton,(866) 523-4268,"1215 Hightower Trail, Suite B120,",Atlanta,GA,30350,Fulton,6 to 11
Kadiant - Gwinnett,(866) 750-5554,"2810 Premiere Parkway, Suite 500",Duluth,GA,30097,Gwinnett,6 to 11
Kathryn M. York Adapted Aquatics Center,(706) 922-9664,Wilson Family Y 3570 Wheeler Road,Augusta,GA,30909,Richmond,6 to 11
Kiddo's Clubhouse,678-527-3224,11539 Park Woods Circle Suite 502,Alpharetta,GA,30005,Fulton,6 to 11
Kids Enabled Magazine,404-401-9400,5579-B Chamblee Dunwoody Road,Atlanta,GA,,DeKalb,6 to 11
Kimbridge Music Therapy Services,404-934-0115,4485 Tench Rd Suite 1211,Suwanee,GA,30024,Gwinnett,6 to 11
Koru Kids Connections,(201) 639-4968,78 Dawsonville Way N Suite 140-38,Dawsonville,GA,30534,Dawson,6 to 11
Language and Learning Clinic Home-based Program,404-785-9400,Marcus Austim Center 1920 Briarcliff Road,Atlanta,GA,30329,DeKalb,6 to 11
Laurel Heights Intensive Residential Center,(404) 909-4112,"Laurel Heights Hospital 934 Briarcliff Rd., NE",Atlanta,GA,30306,DeKalb,6 to 11
"Law Offices of Dennise L. Grayson, LLC",(706) 310-1242,1 Third Street North,Watkinsville,GA,30677,Oconee,6 to 11
Law Offices of Kathleen M. Flynn,404-479-4431,315 West Ponce de Leon Avenue Suite 940,Decatur,GA,30030,DeKalb,6 to 11
LEAPS Therapy Clinic,(678) 965-0653,703 Atlanta Highway,Cumming,Georgia,30040,Forsyth,6 to 11
Learn-2-Learn Educational Therapy,(678) 491-4513,"2900 Chamblee-Tucker Road Building 12, Suite 200",Atlanta,GA,30341,DeKalb,6 to 11
Learning Rx Center - Atlanta-Buckhead,(404) 458-8419,5252 Roswell Road Heritage Park Suite 100,Atlanta,GA,30342,Fulton,6 to 11
LearningRX Center - Alpharetta-Johns Creek,(404) 334-7913,"10220 Medlock Bridge Rd, Ste 101",Johns Creek,GA,30022,Fulton,6 to 11
Lighthouse Counseling,770-251-5873,121 Jackson Steet,Newnan,GA,30263,Coweta,6 to 11
Lighthouse behavioral consulting,(762) 359-0003,,,,,Muscogee,6 to 11
Lightway Psychological Services,(404) 491-1684,2801 Buford Highway NE Suite 503,Atlanta,GA,30329,DeKalb,6 to 11
LM Speech,(678) 358-7237,2547 Ridgewood Terrace NW,Atlanta,GA,30318,Fulton,6 to 11
Lowcountry Autism Foundation,(843) 876-0415,135 Rutledge Avenue,Charleston,SC,29403,,6 to 11
MAAP Services For Autism/Aspergers/PDD/NOS,(219) 789-9874,P.O. Box 524,Crown Point,IN,46308,,6 to 11
Macys Autism Pals,(916) 289-3720,100 Harbor Pointe Circle,Brunswick,GA,31523,Glynn,6 to 11
Marcus Autism Center,(404) 785-9400,1920 Briarcliff Road,Atlanta,GA,30329,DeKalb,6 to 11
Marne Day,(470) 387-9291,"Well Being, LLC 6740 Jamestown Drive",Alpharetta,GA,30005,Fulton,6 to 11
Maximum Potential Kids,(404) 483-5066,11389 Stockbridge Highway Suite 229,Alpharetta,GA,30022,Fulton,6 to 11
May Institute - Savannah,(912) 349-4843,"4 Mall Ct., Suite A",Savannah,GA,31406,Chatham,6 to 11
MDE School,(770) 971-4633,1517 Johnson Ferry Road,Marietta,GA,30062,Cobb,6 to 11
Milestones Therapy,(229) 402-7188,117 3rd Street E,Tifton,GA,31794,Tift,6 to 11
Milton Speech Pathology,(678) 824-2145,"11285 Elkins Rd, Suite G2",Roswell,GA,30076,Fulton,6 to 11
Momentum Autism Therapy Services,(833) 222-4273,,,GA,,DeKalb,6 to 11
My Goal Resources,(877) 886-9462,P.O. Box 531,Monmouth Junction,NJ,8852,,6 to 11
National Autism Association,877-622-2884,"One Park Avenue, Suite 1",Portsmouth,RI,2871,,6 to 11
Neurodevelopmental Assessment & Consulting Services (NACS),(404) 254-5881,320 Winn Way Suite 102,Decatur,GA,30030,DeKalb,6 to 11
New Heights Academy,(770) 912-3875,6225 Atlanta Highway Suite 110,Alpharetta,GA,30004,Forsyth,6 to 11
Newnan Family Chiropractic,(770) 683-9105,197 Jefferson Pkwy,Newnan,GA,30263,Coweta,6 to 11
Next Behavioral Solutions,(706) 905-5525,"6003 Veterans Parkway, Suite 219",Columbus,GA,31909,,6 to 11
Next Phase Behavioral Solutions LLC,(706) 905-5525,,,GA,,Muscogee,6 to 11
North Fulton Autism Support Group,(678) 315-2498,,Johns Creek,Ga,,Fulton,6 to 11
"North Georgia Autism Center, Inc.",(765) 414-6227,301 Hickory Ridge Trail Suites 130 & 140,Woodstock,GA,30188,Cherokee,6 to 11
North Macon Family Healthcare Associates,(478) 471-0089,540 Charter Boulevard Suite 100,Macon,GA,31210,Bibb,6 to 11
Northstar Psychological Services,(770) 667-3877,120 Vann Street Suite 100,Marietta,GA,30060,Cobb,6 to 11
Organization for Autism Research (OAR),(703) 243-9710 X 229,"2000 North 14th Street, Suite 300",Arlington,VA,22201,,6 to 11
Owl Ridge Equestrian Center,(770) 715-9685,345 Bluebird Acres Road,Woodstock,GA,30188,Cherokee,6 to 11
PAC (Parents of Autistic Children) of Northwest Georgia,(706) 528-2908,"1 Rosalyn Court, SW",Rome,GA,30165,Floyd,6 to 11
Parent of Autistic Children of NW Georgia (PAC),(706) 528-2908,Etowah Senior Center 1325 Kingston Highway NE,Rome,GA,30165,Floyd,6 to 11
Parenting ADHD & Autism,,PO Box 1376,Skyland,NC,28776,,6 to 11
Pathways Autism Center,(678) 691-2206,50 Plaza Way NW Suite A,Marietta,Georgia,30060,Cobb,6 to 11
Pathways Autism Center - McDonough Center,(678) 691-2206,382 Racetrack Road,McDonough,Georgia,30252,Henry,6 to 11
Pathways Autism Center - Sandy Springs Center,(678) 691-2206,6849 Peachtree Dunwoody Rd Building A-1,Atlanta,Georgia,30328,Fulton,6 to 11
Peaceful Pieces Sensory Center,,P.O. Box 452,Ringgold,GA,30736,Catoosa,6 to 11
Peachtree Pediatric Psychology,(404) 796-7777,"750 Hammond Drive, Building 10, Suite 100",Atlanta,GA,30328,DeKalb,6 to 11
"Pediatric Speech Therapy of Forsyth, LLC",(770) 410-7719,"4080 McGinnis Ferry Road Building 300, Suite 302",Alpharetta,GA,30005,Forsyth,6 to 11
Pieces to the Puzzle,(470) 262-1002,Gracepointe Church 7915 Dallas-Acworth Hwy.,Dallas,GA,30157,Paulding,6 to 11
Positive Behavior Support Corporation,(855) 832-6727 Ext. 1890,7108 S Kanner Highway,Stuart,FL,34997,,6 to 11
Positive Behavior Supports Corporation,(855) 832-6727 ext:1414,260 Peachtree Street NW,Atlanta,Georgia,30303,Fulton,6 to 11
Positively Autism,Contact by email only,,,,,,6 to 11
Psych Atlanta - Alpharetta/Roswell,(770) 667-1264,11755 Pointe Place Suite A-1,Roswell,GA,30076,Fulton,6 to 11
"Psychological Soutions of North Atlanta, LLC",(404) 202-1309,6290 Abbotts Bridge Rd. Suite 502,Johns Creek,GA,30097,Fulton,6 to 11
Putnam Jasper Support Services,(706) 484-2845,149 Sara Lee Drive,Eatonton,GA,31024,Putnam,6 to 11
Puzzle Pieces Intervention Center,(478) 919-8606,"114 Constitution Drive, Suite 300",Warner Robins,GA,31088,Houston,6 to 11
Rainbow Steps ABA,(470) 485-2220,"3100 Five Forks Trickum Rd SW STE 203,",Lilburn,GA,30047,Gwinnett,6 to 11
RDI Connect,(850) 345-6010,"3292 Thompson Bridge Road, Suite 327",Gainesville,GA,30506,Hall,6 to 11
Reaching Milestones - Augusta,(706) 863-9699,"624 Ponder Pl Dr,",Evans,Georgia,30809,Richmond,6 to 11
Reaching Milestones - Newnan,,"225 Millard Farmer Industrial Blvd building B,",Newnan,GA,30263,Coweta,6 to 11
Reaching Milestones - Richmond Hills,(912) 756-0656,"3766 US-17 Suite 301, 135 Cedar Street",Richmond Hill,GA,31324,Bryan,6 to 11
Readable Clinic,(678) 697-6049,4851 Lula Street,Lilburn,GA,30047,Gwinnett,6 to 11
Reclif,(678) 691-5426,"3200 Pointe Parkway, Suite 200",Peachtree Corners,GA,30092,Gwinnett,6 to 11
Recovery Warriorz,(678) 754-2694,1700 Northside Dr Suite A7 #1288 Atlanta Ga 30318,Atlanta,Georgia,30318,Fulton,6 to 11
Resource Education Solutions,(404) 256-5500,776 Windsor Parkway Sandy Springs Georgia 30342,Sandy Springs,GA,30342,Fulton,6 to 11
Riggs Educational Advocates for Children,(770) 924-0050,328 Old Farm Road,Woodstock,GA,30188,Cherokee,6 to 11
Rising Height Counseling - Griffin,(678) 224-7404,126 W Solomon Street Suite 4,Griffin,GA,30223,Spalding,6 to 11
River Edge Family Support/Autism Funding,(478) 803-7657,175 Emery Highway,Macon,GA,,Bibb,6 to 11
Rockdale County Autism Support Group,(404) 358-6253,PO Box 381,Conyers,GA,30012,Rockdale,6 to 11
Rockldale County Autism Support Group,404-358-6253,PO Box 381,Conyers,GA,30012,Rockdale,6 to 11
Roswell GA - SNAPS – Special Needs and Parent Support,,St. Peter Chanel Catholic Church 1330 Woodstock Road,Roswell,GA,30075,Fulton,6 to 11
S.K.I.P. (Spectrum Kommunity Inclusion Project),770-617-8775,c/o Spectrum PO Box 3132,Suwanee,GA,30024,Gwinnett,6 to 11
"Saddle-Up Therapeutic Riding Center, Inc.",(912) 288-6324,6844 Tanglewood Drive,Blackshear,GA,31516,Pierce,6 to 11
Sky Zone Trampoline Park - Suwanee,(678) 745-9900,560 Old Peachtree Rd NW #300,Suwanee,GA,30024,Gwinnett,6 to 11
Social Skills Today,678-926-3297,3935 Carriage Gate Dr.,Duluth,GA,30096,Gwinnett,6 to 11
Southern Behavior Consultants LLC,(706) 870-1331,22 Buford Village Way Suite 229,Buford,GA,30518,Hall,6 to 11
"Southern Behavioral Group, Inc.",(888) 759-7706,2470 Windy Hill Road Suite 300,Marietta,GA,30067,Cobb,6 to 11
Southern Environmental Medicine Center,(404) 845-7484,"3833 Roswell Rd NE, Suite 116",Atlanta,GA,30342,Fulton,6 to 11
"Southern Psychological and Behavioral Services, LLC",(229) 474-9800,2236 Bemiss Road,Valdosta,GA,31602,Lowndes,6 to 11
Spark (Simons Foundation Powering Autism Research),,PO Box 1806,New York,NY,10159,,6 to 11
"Special Citizens Futures Unlimited, Inc.",(212) 643-2663,1775 Grand Concourse 8th Floor,Bronx,NY,10118,,6 to 11
Special Kicks,(912) 690-5425,"Empower Kids International 977 Northside Drive East,",Statesboro,GA,30458,Bulloch,6 to 11
Special Needs Siblings,(470) 343-4463,,,,,Gwinnett,6 to 11
Spectrum Autism Support Group,(770) 617-8775,P.O. Box 3132,Suwanee,GA,30024,Gwinnett,6 to 11
Spectrum Behavioral Associates,770-974-2945,"4492 Acworth Industrial Dr NW #100,",Acworth,GA,30101,Cobb,6 to 11
Spectrum Children Activity Center,(706) 427-2943,"79C Main Street, NW",Lilburn,GA,30047,Gwinnett,6 to 11
Spectrum Grandparents Support Group,770-617-8775,P.O. Box 3132,Suwanee,GA,30024,Gwinnett,6 to 11
Spectrum Integrative Health,(678) 691-0353,10160 Medlock Bridge Rd,Johns Creek,GA,30097,Fulton,6 to 11
"Spectrum Life Services, LLC",(678) 775-8977,P.O. Box 2411,"Duluth,",GA,30096,Gwinnett,6 to 11
Spectrum Pediatric Group,(770) 966-0778,3150 Cobb Parkway Suite 130,Kennesaw,GA,30152,Cobb,6 to 11
Spirit of Autism,404-939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,6 to 11
"Spirit of Autism, LLC",(404) 939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,6 to 11
Sprout Therapy,(844) 793-0173,756 W Peachtree St NW,Atlanta,GA,30308,Fulton,6 to 11
Summit Trail Therapeutic Services,(706) 383-9989,40 Highland Cir,Blue Ridge,GA,30513,Fannin,6 to 11
Talisman Summer Camp Programs,(855) 588-8254,Talisman Programs 64 Gap Creek Road,Zirconia,NC,28790,,6 to 11
Talk About Curing Autism (TACA),949-640-4401,"TACA National Office 2222 Martin St., Suite 140",Irvine,CA,,,6 to 11
Talk About Curing Autism (TACA-Georgia Chapter),678-513-1200,"The Hyperbaric Therapy Center 104 Colony Park Drive, Ste 500",Cumming,GA,,Forsyth,6 to 11
Tameika Meadows,(404) 594-1398,,,GA,,DeKalb,6 to 11
Taylor's Time,678-390-2611,4514 Chamblee Dunwoody Road Suite 417,Atlanta,GA,30338,DeKalb,6 to 11
Team Autism Spectrum Clinic,423-622-0500,"Medical Towers 1000 E. 3rd Street, Suite 100",Chattanooga,TN,,,6 to 11
Teresa Conner,(229) 319-8910,,,GA,,Tift,6 to 11
The Autism Foundation of Georgia,(404) 712-2384,1551 Shoup Court,Decatur,GA,30033,DeKalb,6 to 11
The Autism Learning Center,(706) 221-8966,6100 Veterans Pkwy Suite 11,Columbus,GA,31909,Muscogee,6 to 11
The Autistic Self Advocacy Network,,P.O. Box 66122,Washington,DC,,,6 to 11
The Growing Place,(404) 862-6525,2700 Northeast Expressway NE Suite A110,Atlanta,GA,30345,Fulton,6 to 11
The Handle Institute,(206) 909-6028,P.O. Box 493735,Redding,CA,96049,,6 to 11
The Healthy U Now Foundation,(904) 834-2938,5270 Palm Valley Road,Ponte Vedra Beach,FL,32082,,6 to 11
The Hirsch Academy,404-378-9706,705 South Candler Street,Decatur,GA,30030,DeKalb,6 to 11
